perm_id,block_type,shader_type,spf1,spf2,material_path,hit_count,unique_nif_count
7fdd27742ace6985796decffad1e2eada6f84a89,BSLightingShaderProperty,2,2151678467,241,"tex_41311e8cdcfb0c8d2094f80eb21fdbea57077898",1014,1014
3112828331580bfdf6d649132e7acadbc7af79b3,BSLightingShaderProperty,0,2353004546,4194449,"tex_832ad15dcdad3f5da48d885087fc451a1d87e585",996,996
acf3ccf76ef9b54ec75e0cddbd3391e8343070bd,BSLightingShaderProperty,0,2151678467,129,"tex_4fc898c14814fb3e632ce15e6cf4a52e87b66cb8",857,857
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldwood01.bgsm",627,544
4f4ddd65c6a38cbaa7135761c4d3ae450cc4bdc0,BSLightingShaderProperty,1,205521035,161,"tex_fa5f7b81fc93ea0b59b8454d95f396036d9e2537",621,621
6bd2a34cfc16a527b97e6b3717f97acd32fd59d8,BSLightingShaderProperty,5,2153775619,129,"tex_2444871ed77cc815194647af0ffe1a570026727c",540,540
a3992273089f0f685763994077a86b72480107b0,BSLightingShaderProperty,0,2151678465,1,"tex_df617654b3f32a86d29969ced5531a4c88488ced",493,5
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\lod\hittechextalod01.bgsm",477,477
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\utility\metalrubberductpipeset01.bgsm",456,456
b126be896eaa7ae13033a5fa7d25e8c1ac762a4f,BSLightingShaderProperty,0,2151678465,161,"materials\interiors\building\bldconcreteceilinggross01.bgsm",454,454
c5f0ac761f58dd6d1544dac8e31e751bcf27ac6a,BSLightingShaderProperty,0,2151678473,161,"materials\interiors\building\bldwoodwall01.bgsm",447,447
3bdddf3ecda0f80a65a768060177527dc63e4604,BSLightingShaderProperty,0,2151677960,33,"materials\interiors\building\bldwoodwall01.bgsm",444,443
83d770d6b0df68c069979f4eaf63f349d7b74677,BSLightingShaderProperty,2,2151940627,240,"tex_99432c507d6e8bc36bfd4c9dae31bb27d67f1680",408,408
08278bf06c80713bfe008600cc56e0d14ddd7766,BSLightingShaderProperty,6,2353266707,2097312,"tex_07454f8764623bc700b79d13b3c1584da1b428c4",389,389
5794ffc67cb22fbd685f10d86c361747e6997e73,BSLightingShaderProperty,1,205521027,161,"tex_fa5f7b81fc93ea0b59b8454d95f396036d9e2537",376,376
7af6d34cc707ab5cdad367bcf5fbbcc5bce63b23,BSLightingShaderProperty,0,2151678465,536870961,"materials\landscape\plants\inshydroponicplant01.bgsm",370,2
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\industrial\metalindbeams01.bgsm",368,368
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\architecture\buildings\hightech\hittechmetaldetails_01.bgsm",349,349
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\architecture\buildings\brickred01.bgsm",331,329
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\architecture\buildings\metalrooftrim01.bgsm",330,327
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\architecture\buildings\hightech\hittechlongpanels_01.bgsm",309,270
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldconcretewall01.bgsm",303,303
6bd2a34cfc16a527b97e6b3717f97acd32fd59d8,BSLightingShaderProperty,5,2153775619,129,"tex_408ade756432deed4b625392c775cdb571506af9",298,298
a3992273089f0f685763994077a86b72480107b0,BSLightingShaderProperty,0,2151678465,1,"materials\interiors\hightech\flatmetalsupports01a.bgsm",298,295
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\steamt\bricksteamt01.bgsm",292,292
83d770d6b0df68c069979f4eaf63f349d7b74677,BSLightingShaderProperty,2,2151940627,240,"tex_a0693e97c596c7bfff388a7367ef35a55d272b2e",290,290
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\utility\concretebackwall01.bgsm",287,287
3a830e2b82794727a480dc5f41d3d1f60bb53262,BSLightingShaderProperty,0,2151678465,129,"materials\interiors\building\bldwoodfloor01.bgsm",260,260
0b76857a15e663dbda0de13c8e96cb7ec1c2dab7,BSLightingShaderProperty,0,2151678465,33,"materials\architecture\buildings\hightech\hittechlongpanelslarge_01.bgsm",257,1
b126be896eaa7ae13033a5fa7d25e8c1ac762a4f,BSLightingShaderProperty,0,2151678465,161,"materials\interiors\building\bldwoodfloor01.bgsm",256,256
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldconcretefloorgross01.bgsm",254,254
9d23bf5a7b3ac32a0081ec8043d8e10bf7fba862,BSLightingShaderProperty,0,2151678465,49,"materials\architecture\buildings\hightech\hittechmetaldetails_01.bgsm",247,24
a7831a61c7112a72c67013019bf9d034ae726f98,BSLightingShaderProperty,0,2151677961,161,"materials\interiors\building\bldplasterceiling01alpha.bgsm",244,244
3bdddf3ecda0f80a65a768060177527dc63e4604,BSLightingShaderProperty,0,2151677960,33,"materials\interiors\building\bldconcretedamagegross02alpha.bgsm",243,243
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\architecture\buildings\largebrickwall01.bgsm",243,243
fc81cb4f720f1706415c774c6421d16822382337,BSLightingShaderProperty,0,2151677952,33,"materials\interiors\building\bldwood01.bgsm",243,243
08278bf06c80713bfe008600cc56e0d14ddd7766,BSLightingShaderProperty,6,2353266707,2097312,"tex_24a6d050a0fcb41266c0b86bb90846e2f7e9b0f4",237,237
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldconcchunkies01.bgsm",237,237
3a830e2b82794727a480dc5f41d3d1f60bb53262,BSLightingShaderProperty,0,2151678465,129,"materials\interiors\building\bldwood01.bgsm",234,234
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\lod\decomainlod.bgsm",230,230
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\architecture\buildings\plaster02.bgsm",230,228
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldmarblewall01.bgsm",229,229
b126be896eaa7ae13033a5fa7d25e8c1ac762a4f,BSLightingShaderProperty,0,2151678465,161,"materials\interiors\building\bldconcretefloorgross01.bgsm",229,229
b126be896eaa7ae13033a5fa7d25e8c1ac762a4f,BSLightingShaderProperty,0,2151678465,161,"materials\interiors\building\bldmarblefloor01.bgsm",228,228
b126be896eaa7ae13033a5fa7d25e8c1ac762a4f,BSLightingShaderProperty,0,2151678465,161,"materials\interiors\building\rrconcfloor01.bgsm",228,228
f34ff31d4f12fc6e0d7bed55e6a57950cdfaebc8,BSLightingShaderProperty,1,2151678593,177,"materials\interiors\building\bldglassdecoceiling01alpha.bgsm",228,228
1495e778b7e1f9e5ea30ed895aa364cda4f793b8,BSLightingShaderProperty,0,2353004553,169,"materials\interiors\building\bldceilinggrn01alpha.bgsm",227,227
3a830e2b82794727a480dc5f41d3d1f60bb53262,BSLightingShaderProperty,0,2151678465,129,"materials\interiors\building\bldconcretewall01.bgsm",227,227
b126be896eaa7ae13033a5fa7d25e8c1ac762a4f,BSLightingShaderProperty,0,2151678465,161,"materials\interiors\building\bldtile01.bgsm",227,227
b126be896eaa7ae13033a5fa7d25e8c1ac762a4f,BSLightingShaderProperty,0,2151678465,161,"materials\interiors\utility\concreteroofblock02.bgsm",227,227
b5f097034756f61e71fe71f2ab76386a057442c2,BSLightingShaderProperty,0,2151677953,161,"materials\interiors\building\bldceilinggrn01.bgsm",227,227
b7d715f4fd433410d83d82da07239dcae584ea71,BSLightingShaderProperty,0,2353004553,134217897,"materials\interiors\building\bldwallpaperinside01alpha.bgsm",227,227
3a830e2b82794727a480dc5f41d3d1f60bb53262,BSLightingShaderProperty,0,2151678465,129,"materials\interiors\building\bldmarblewall01.bgsm",225,225
3a830e2b82794727a480dc5f41d3d1f60bb53262,BSLightingShaderProperty,0,2151678465,129,"materials\interiors\steamt\bricksteamt01.bgsm",225,225
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\landscape\roads\asphaltandswedgedecals01.bgsm",225,225
fc81cb4f720f1706415c774c6421d16822382337,BSLightingShaderProperty,0,2151677952,33,"materials\interiors\building\bldwoodpanels01.bgsm",225,224
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldwoodpanels01.bgsm",224,107
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\utility\paintpeelingconcrete02.bgsm",222,222
3bdddf3ecda0f80a65a768060177527dc63e4604,BSLightingShaderProperty,0,2151677960,33,"materials\interiors\building\bldplasterwall01alpha.bgsm",221,221
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\steamt\bricksteamt03unique.bgsm",216,216
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\landscape\roads\concretesw01.bgsm",215,213
d452cfefe5498ea47dbcf451064b3cd7dffa1948,BSLightingShaderProperty,1,2151678593,1,"materials\interiors\vault\vlthallrespaneled01.bgsm",213,213
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldwoodfloor01.bgsm",208,208
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\landscape\ground\dirtgravel01.bgsm",208,208
a3992273089f0f685763994077a86b72480107b0,BSLightingShaderProperty,0,2151678465,1,"materials\architecture\warehouse\wrhswoodtile01.bgsm",207,207
b9b835580dbabf707e81327e18464b4e1e0ae130,BSLightingShaderProperty,2,2151678465,65,"materials\setdressing\signage\roadsigncommon01.bgsm",203,161
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldwallsgrn03.bgsm",202,202
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\architecture\buildings\hightech\hittechstructure01.bgsm",200,154
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldconcretedamagegross02.bgsm",196,196
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\industrial\metalcatwalk01alpha.bgsm",195,195
a7831a61c7112a72c67013019bf9d034ae726f98,BSLightingShaderProperty,0,2151677961,161,"materials\interiors\building\bldplasterwall01alpha.bgsm",195,195
d452cfefe5498ea47dbcf451064b3cd7dffa1948,BSLightingShaderProperty,1,2151678593,1,"materials\interiors\vault\vlthallresmain01.bgsm",193,193
0b76857a15e663dbda0de13c8e96cb7ec1c2dab7,BSLightingShaderProperty,0,2151678465,33,"tex_884d1749546776b009f4653d6051d37eb18b6792",191,191
fa7d09c7e103135c897279476e8ed6bc71a60702,BSLightingShaderProperty,0,2353004571,160,"tex_cd8b8becd43efb37a113fdd3b915b9825a85eae1",190,190
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\interiors\building\bldconcreteceilinggross01.bgsm",190,189
d452cfefe5498ea47dbcf451064b3cd7dffa1948,BSLightingShaderProperty,1,2151678593,1,"materials\interiors\hightech\flatmetalpanels02a.bgsm",189,184
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\architecture\buildings\stoneblockdetails01.bgsm",188,188
b126be896eaa7ae13033a5fa7d25e8c1ac762a4f,BSLightingShaderProperty,0,2151678465,161,"materials\interiors\building\bldwoodpanels01.bgsm",188,188
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\landscape\roads\stoneswcurbunique.bgsm",184,183
d452cfefe5498ea47dbcf451064b3cd7dffa1948,BSLightingShaderProperty,1,2151678593,1,"materials\interiors\vault\vltutilpipes01.bgsm",183,183
85655154dba1807d80bd29600f9d82ade5e1880d,BSLightingShaderProperty,0,2151677952,1,"materials\lod\hittechext03lod.bgsm",177,177
209154401a4a571992deaea64f273516b8e87e45,BSLightingShaderProperty,0,2353004563,2097312,"tex_f50049008cc7fe0e064022cddbff502725b1e3c5",175,175
ec92625bbdf49bb71222950c1cb45f58a7303fe3,BSLightingShaderProperty,1,2151678595,161,"tex_fa8fa0602c176a8d51e256db27a5ff43e46b48ee",175,175
bc5494dced48a22a029476b288dba6277a867b0e,BSLightingShaderProperty,1,2353005185,9,"materials\interiors\vault\vltdecals01.bgsm",167,167
eb1623ac71db5ad7dcd846dd6314cc2f6c5b80dd,BSLightingShaderProperty,6,2353266707,2097313,"tex_227627fcb7e6d9954b115c36521fcb30e1006725",165,153
eb1623ac71db5ad7dcd846dd6314cc2f6c5b80dd,BSLightingShaderProperty,6,2353266707,2097313,"tex_80f2143e44a2c9558e6774e76faa7876e282c52b",165,153
c5f0ac761f58dd6d1544dac8e31e751bcf27ac6a,BSLightingShaderProperty,0,2151678473,161,"materials\interiors\building\bldwood01.bgsm",163,163
